,phase,8949170_q,8949170_w,-164126513_q,-164126513_w,52016249_q,52016249_w,-164126511_q,-164126511_w,stateNum
335,0,0,0,1,1,0,1,0,2,335
336,0,0,0,1,1,0,1,1,0,336
337,0,0,0,1,1,0,1,1,1,337
338,0,0,0,1,1,0,1,1,2,338
339,0,0,0,1,1,0,1,2,0,339
340,0,0,0,1,1,0,1,2,1,340
341,0,0,0,1,1,0,1,2,2,341
342,0,0,0,1,1,0,2,0,0,342
343,0,0,0,1,1,0,2,0,1,343
344,0,0,0,1,1,0,2,0,2,344
345,0,0,0,1,1,0,2,1,0,345
346,0,0,0,1,1,0,2,1,1,346
347,0,0,0,1,1,0,2,1,2,347
348,0,0,0,1,1,0,2,2,0,348
349,0,0,0,1,1,0,2,2,1,349
350,0,0,0,1,1,0,2,2,2,350
351,0,0,0,1,1,1,0,0,0,351
352,0,0,0,1,1,1,0,0,1,352
353,0,0,0,1,1,1,0,0,2,353
354,0,0,0,1,1,1,0,1,0,354
355,0,0,0,1,1,1,0,1,1,355
356,0,0,0,1,1,1,0,1,2,356
357,0,0,0,1,1,1,0,2,0,357
358,0,0,0,1,1,1,0,2,1,358
359,0,0,0,1,1,1,0,2,2,359
360,0,0,0,1,1,1,1,0,0,360
361,0,0,0,1,1,1,1,0,1,361
362,0,0,0,1,1,1,1,0,2,362
363,0,0,0,1,1,1,1,1,0,363
364,0,0,0,1,1,1,1,1,1,364
365,0,0,0,1,1,1,1,1,2,365
366,0,0,0,1,1,1,1,2,0,366
367,0,0,0,1,1,1,1,2,1,367
368,0,0,0,1,1,1,1,2,2,368
369,0,0,0,1,1,1,2,0,0,369
370,0,0,0,1,1,1,2,0,1,370
371,0,0,0,1,1,1,2,0,2,371
372,0,0,0,1,1,1,2,1,0,372
373,0,0,0,1,1,1,2,1,1,373
374,0,0,0,1,1,1,2,1,2,374
375,0,0,0,1,1,1,2,2,0,375
376,0,0,0,1,1,1,2,2,1,376
377,0,0,0,1,1,1,2,2,2,377
378,0,0,0,1,1,2,0,0,0,378
379,0,0,0,1,1,2,0,0,1,379
380,0,0,0,1,1,2,0,0,2,380
381,0,0,0,1,1,2,0,1,0,381
382,0,0,0,1,1,2,0,1,1,382
383,0,0,0,1,1,2,0,1,2,383
384,0,0,0,1,1,2,0,2,0,384
385,0,0,0,1,1,2,0,2,1,385
386,0,0,0,1,1,2,0,2,2,386
387,0,0,0,1,1,2,1,0,0,387
388,0,0,0,1,1,2,1,0,1,388
389,0,0,0,1,1,2,1,0,2,389
390,0,0,0,1,1,2,1,1,0,390
391,0,0,0,1,1,2,1,1,1,391
392,0,0,0,1,1,2,1,1,2,392
393,0,0,0,1,1,2,1,2,0,393
394,0,0,0,1,1,2,1,2,1,394
395,0,0,0,1,1,2,1,2,2,395
396,0,0,0,1,1,2,2,0,0,396
397,0,0,0,1,1,2,2,0,1,397
398,0,0,0,1,1,2,2,0,2,398
399,0,0,0,1,1,2,2,1,0,399
400,0,0,0,1,1,2,2,1,1,400
401,0,0,0,1,1,2,2,1,2,401
402,0,0,0,1,1,2,2,2,0,402
403,0,0,0,1,1,2,2,2,1,403
404,0,0,0,1,1,2,2,2,2,404
405,0,0,0,1,2,0,0,0,0,405
406,0,0,0,1,2,0,0,0,1,406
407,0,0,0,1,2,0,0,0,2,407
408,0,0,0,1,2,0,0,1,0,408
409,0,0,0,1,2,0,0,1,1,409
410,0,0,0,1,2,0,0,1,2,410
411,0,0,0,1,2,0,0,2,0,411
412,0,0,0,1,2,0,0,2,1,412
413,0,0,0,1,2,0,0,2,2,413
414,0,0,0,1,2,0,1,0,0,414
415,0,0,0,1,2,0,1,0,1,415
416,0,0,0,1,2,0,1,0,2,416
417,0,0,0,1,2,0,1,1,0,417
418,0,0,0,1,2,0,1,1,1,418
419,0,0,0,1,2,0,1,1,2,419
420,0,0,0,1,2,0,1,2,0,420
421,0,0,0,1,2,0,1,2,1,421
422,0,0,0,1,2,0,1,2,2,422
423,0,0,0,1,2,0,2,0,0,423
424,0,0,0,1,2,0,2,0,1,424
425,0,0,0,1,2,0,2,0,2,425
426,0,0,0,1,2,0,2,1,0,426
427,0,0,0,1,2,0,2,1,1,427
428,0,0,0,1,2,0,2,1,2,428
429,0,0,0,1,2,0,2,2,0,429
430,0,0,0,1,2,0,2,2,1,430
431,0,0,0,1,2,0,2,2,2,431
432,0,0,0,1,2,1,0,0,0,432
433,0,0,0,1,2,1,0,0,1,433
434,0,0,0,1,2,1,0,0,2,434
435,0,0,0,1,2,1,0,1,0,435
436,0,0,0,1,2,1,0,1,1,436
437,0,0,0,1,2,1,0,1,2,437
438,0,0,0,1,2,1,0,2,0,438
439,0,0,0,1,2,1,0,2,1,439
440,0,0,0,1,2,1,0,2,2,440
441,0,0,0,1,2,1,1,0,0,441
442,0,0,0,1,2,1,1,0,1,442
443,0,0,0,1,2,1,1,0,2,443
444,0,0,0,1,2,1,1,1,0,444
445,0,0,0,1,2,1,1,1,1,445
446,0,0,0,1,2,1,1,1,2,446
447,0,0,0,1,2,1,1,2,0,447
448,0,0,0,1,2,1,1,2,1,448
449,0,0,0,1,2,1,1,2,2,449
450,0,0,0,1,2,1,2,0,0,450
451,0,0,0,1,2,1,2,0,1,451
452,0,0,0,1,2,1,2,0,2,452
453,0,0,0,1,2,1,2,1,0,453
454,0,0,0,1,2,1,2,1,1,454
455,0,0,0,1,2,1,2,1,2,455
456,0,0,0,1,2,1,2,2,0,456
